"coword_1","coword_2","coword_3","coword_4","coword_5","coword_6","coword_7","coword_8","coword_9","coword_10","coword_11","coword_12","coword_13","coword_14","coword_15","coword_16","coword_17","coword_18","coword_19","coword_20","coword_21","coword_22","coword_23","coword_24","coword_25","coword_26","coword_27","coword_28","coword_29"
"耶穌","耶路撒冷","人子","瑪竇","福音","耶里哥","載伯德","天國","復活","生命","門徒","","","","","","","","","","","","","","","","","",""
"耶穌","聖殿","若翰","門徒","耶路撒冷","瑪竇","福音","加里肋亞","天主的國","伯達尼","橄欖山","納匝肋","亞納","天國","正義","","","","","","","","","","","","","",""
"耶穌","復活","瑪竇","福音","雅各伯","默西亞","天國","真理","聖神","門徒","","","","","","","","","","","","","","","","","","",""
"耶路撒冷","瑪竇","福音","默西亞","天國","耶穌","門徒","","","","","","","","","","","","","","","","","","","","","",""
"人子","默西亞","福音","耶穌","瑪竇","聖殿","門徒","安息日","橄欖山","天國","猶太","","","","","","","","","","","","","","","","","",""
"天國","瑪竇","福音","人子","永生","","","","","","","","","","","","","","","","","","","","","","","",""
"耶穌","門徒","人子","猶達斯","逾越節","猶達","福音","加里肋亞","默西亞","瑪竇","聖殿","蓋法","見證","革責瑪尼","伯達尼","十字架","橄欖山","納匝肋","載伯德","復活","西滿","","","","","","","",""
"耶穌","十字架","瑪利亞","復活","天主子","猶太","若瑟","瑪利亞瑪達肋納","默西亞","瑪竇","福音","門徒","阿黎瑪特雅","加里肋亞","哥耳哥達","猶達斯","載伯德","雅各伯","猶達","聖殿","西滿","","","","","","","",""
"耶穌","門徒","加里肋亞","瑪利亞","復活","瑪竇","福音","瑪利亞瑪達肋納","安息日","猶太","聖神","","","","","","","","","","","","","","","","","",""
"耶穌","加里肋亞","福音","西滿","若翰","聖神","安德肋","納匝肋","載伯德","雅各伯","悔改","若望","加里肋亞海","天主的國","洗者若翰","耶穌基督","耶路撒冷","天主子","安息日","葛法翁","亞納","基督","猶太","","","","","",""
"耶穌","門徒","安息日","肋未","人子","福音","若翰","葛法翁","阿耳斐","信心","","","","","","","","","","","","","","","","","","",""
"耶穌","雅各伯","耶路撒冷","安息日","福音","西滿","門徒","巴爾多祿茂","加里肋亞","天主子","安德肋","斐理伯","猶達斯","載伯德","阿耳斐","多默","常在","提洛","漆冬","猶太","猶達","瑪竇","聖神","若望","達陡","","","",""
"耶穌","撒種","門徒","天主的國","福音","","","","","","","","","","","","","","","","","","","","","","","",""
"耶穌","雅各伯","福音","十城區","若望","門徒","","","","","","","","","","","","","","","","","","","","","","",""
"耶穌","若翰","門徒","洗者若翰","復活","福音","加里肋亞","貝特賽達","安息日","斐理伯","瑪利亞","雅各伯","信心","悔改","正義","猶達","若瑟","西滿","","","","","","","","","","",""
"耶穌","門徒","提洛","漆冬","福音","加里肋亞海","加里肋亞","耶路撒冷","十城區","猶太","","","","","","","","","","","","","","","","","","",""
"耶穌","門徒","福音","人子","凱撒勒雅","洗者若翰","貝特賽達","十字架","斐理伯","默西亞","復活","若翰","","","","","","","","","","","","","","","","",""
"耶穌","門徒","人子","復活","天主的國","生命","福音","若望","加里肋亞","葛法翁","雅各伯","基督","","","","","","","","","","","","","","","","",""
"耶穌","門徒","天主的國","福音","耶路撒冷","耶里哥","雅各伯","人子","永生","若望","十字架","納匝肋","載伯德","復活","猶太","見證","","","","","","","","","","","","",""
"耶穌","耶路撒冷","門徒","伯達尼","福音","若翰","橄欖山","聖殿","","","","","","","","","","","","","","","","","","","","",""
"耶穌","復活","福音","天主的國","雅各伯","默西亞","真理","聖殿","聖神","門徒","","","","","","","","","","","","","","","","","","",""
"耶穌","默西亞","福音","聖殿","安德肋","橄欖山","雅各伯","人子","猶太","聖神","若望","門徒","","","","","","","","","","","","","","","","",""
"耶穌","門徒","逾越節","人子","猶達斯","猶達","福音","加里肋亞","聖殿","西滿","見證","天主的國","革責瑪尼","伯達尼","橄欖山","納匝肋","雅各伯","默西亞","復活","若望","","","","","","","","",""
"耶穌","十字架","猶太","若瑟","瑪利亞","瑪利亞瑪達肋納","福音","阿黎瑪特雅","加里肋亞","哥耳哥達","耶路撒冷","天主子","安息日","雅各伯","默西亞","天國","聖殿","西滿","","","","","","","","","","",""
"耶穌","瑪利亞","復活","福音","瑪利亞瑪達肋納","加里肋亞","十字架","安息日","納匝肋","雅各伯","門徒","","","","","","","","","","","","","","","","","",""
"依撒伯爾","匝加利亞","瑪利亞","聖神","若翰","加俾額爾","福音","加里肋亞","納匝肋","雅各伯","救恩","正義","猶太","耶穌","若瑟","","","","","","","","","","","","","",""
"耶路撒冷","耶穌","瑪利亞","納匝肋","西默盎","聖殿","聖神","加里肋亞","亞納","白冷","福音","若瑟","逾越節","默西亞","常在","正義","","","","","","","","","","","","",""
"若翰","肋未","西默盎","雅各伯","默西亞","悔改","猶達","福音","耶穌","聖神","若瑟","般雀比拉多","加里肋亞","匝加利亞","亞納斯","斐理伯","亞納","猶太","蓋法","","","","","","","","","",""
"耶穌","天主子","聖神","加里肋亞","安息日","納匝肋","葛法翁","福音","西滿","耶路撒冷","默西亞","常在","漆冬","猶太","聖殿","若瑟","","","","","","","","","","","","",""
"耶穌","西滿","門徒","福音","肋未","西滿伯多祿","加里肋亞","耶路撒冷","載伯德","雅各伯","人子","信心","悔改","猶太","若望","若翰","","","","","","","","","","","","",""
"耶穌","安息日","門徒","雅各伯","人子","猶達","福音","西滿","巴爾多祿茂","天主的國","耶路撒冷","安德肋","斐理伯","猶達斯","阿耳斐","多默","提洛","漆冬","猶太","瑪竇","若望","","","","","","","",""
"耶穌","若翰","西滿","門徒","洗者若翰","正義","猶太","福音","天主的國","葛法翁","人子","復活","","","","","","","","","","","","","","","","",""
"耶穌","門徒","撒種","福音","加里肋亞","瑪利亞","雅各伯","若望","","","","","","","","","","","","","","","","","","","","",""
"耶穌","門徒","天主的國","人子","復活","耶路撒冷","若望","若翰","雅各伯","福音","撒瑪黎雅","洗者若翰","貝特賽達","十字架","","","","","","","","","","","","","","",""
"耶穌","瑪爾大","天主的國","瑪利亞","提洛","漆冬","福音","撒瑪黎雅","耶路撒冷","貝特賽達","耶里哥","葛法翁","永生","聖神","肋未","門徒","","","","","","","","","","","","",""
"耶穌","福音","門徒","天主的國","人子","悔改","聖神","若翰","","","","","","","","","","","","","","","","","","","","",""
"耶穌","人子","生命","福音","聖神","門徒","天國","正義","","","","","","","","","","","","","","","","","","","","",""
"耶穌","耶路撒冷","安息日","天主的國","加里肋亞","悔改","福音","史羅亞","雅各伯","","","","","","","","","","","","","","","","","","","",""
"耶穌","安息日","門徒","福音","天主的國","十字架","復活","","","","","","","","","","","","","","","","","","","","","",""
"悔改","耶穌","福音","","","","","","","","","","","","","","","","","","","","","","","","","",""
"拉匝祿","耶穌","福音","復活","悔改","若翰","門徒","","","","","","","","","","","","","","","","","","","","","",""
"耶穌","人子","天主的國","撒瑪黎雅","福音","門徒","加里肋亞","耶路撒冷","","","","","","","","","","","","","","","","","","","","",""
"耶穌","天主的國","人子","永生","福音","耶路撒冷","納匝肋","耶里哥","復活","正義","聖殿","見證","門徒","","","","","","","","","","","","","","","",""
"耶穌","門徒","耶路撒冷","橄欖山","福音","天主的國","伯達尼","耶里哥","人子","救恩","聖殿","","","","","","","","","","","","","","","","","",""
"耶穌","復活","福音","若翰","雅各伯","默西亞","真理","聖殿","門徒","","","","","","","","","","","","","","","","","","","",""
"耶穌","聖殿","耶路撒冷","人子","福音","天主的國","默西亞","猶太","見證","","","","","","","","","","","","","","","","","","","",""
"耶穌","逾越節","人子","猶達斯","猶達","聖殿","門徒","天主的國","福音","西滿","加里肋亞","天主子","橄欖山","默西亞","若望","見證","","","","","","","","","","","","",""
"耶穌","十字架","猶太","加里肋亞","耶路撒冷","安息日","默西亞","福音","阿黎瑪特雅","天主的國","若瑟","西滿","","","","","","","","","","","","","","","","",""
"耶穌","耶路撒冷","復活","十字架","瑪利亞","默西亞","福音","門徒","瑪利亞瑪達肋納","加里肋亞","伯達尼","克羅帕","厄瑪烏","納匝肋","雅各伯","人子","常在","悔改","聖殿","西滿","見證","","","","","","","",""
"耶穌","若翰","納塔乃耳","斐理伯","聖言","默西亞","聖神","若望","西滿","天主的羔羊","天主子","安德肋","納匝肋","基督","生命","真理","福音","門徒","西滿伯多祿","加里肋亞","耶穌基督","耶路撒冷","貝特賽達","伯達尼","人子","猶太","肋未","若瑟","見證"
"耶穌","門徒","猶太","神蹟","加里肋亞","耶路撒冷","逾越節","加納","福音","聖殿","若望","葛法翁","復活","","","","","","","","","","","","","","","",""
"耶穌","若翰","尼苛德摩","永生","猶太","聖神","見證","天主的國","人子","福音","若望","重生","門徒","默西亞","常在","生命","真理","神蹟","","","","","","","","","","",""
"耶穌","撒瑪黎雅","加里肋亞","猶太","門徒","耶路撒冷","雅各伯","默西亞","撒種","永生","活水","真理","神蹟","福音","若望","息哈爾","葛法翁","加納","基督","救恩","若瑟","若翰","","","","","","",""
"耶穌","猶太","安息日","生命","若翰","耶路撒冷","復活","永生","福音","若望","貝特匝達","天主子","人子","正義","真理","聖殿","","","","","","","","","","","","",""
"耶穌","門徒","生命","永生","復活","神蹟","斐理伯","葛法翁","人子","猶太","西滿","西滿伯多祿","福音","若望","加里肋亞海","提庇黎雅海","加里肋亞","安德肋","猶達斯","逾越節","猶達","若瑟","","","","","","",""
"耶穌","猶太","默西亞","加里肋亞","安息日","福音","聖殿","聖神","若望","尼苛德摩","耶路撒冷","活水","白冷","門徒","","","","","","","","","","","","","","",""
"耶穌","真理","猶太","聖殿","福音","若望","世界的光","撒瑪黎雅","天主子","橄欖山","人子","生命","門徒","","","","","","","","","","","","","","","",""
"耶穌","門徒","史羅亞","猶太","安息日","福音","若望","世界的光","默西亞","人子","","","","","","","","","","","","","","","","","","",""
"耶穌","猶太","善牧","若翰","生命","福音","若望","耶路撒冷","天主子","默西亞","永生","神蹟","聖殿","","","","","","","","","","","","","","","",""
"耶穌","猶太","瑪利亞","拉匝祿","瑪爾大","復活","門徒","伯達尼","耶路撒冷","天主子","逾越節","福音","聖殿","若望","世界的光","默西亞","多默","生命","蓋法","","","","","","","","","",""
"耶穌","拉匝祿","斐理伯","人子","安德肋","永生","猶太","神蹟","福音","若望","門徒","加里肋亞","耶路撒冷","貝特賽達","伯達尼","猶達斯","瑪利亞","瑪爾大","逾越節","默西亞","悔改","猶達","","","","","","",""
"耶穌","西滿","猶達斯","猶達","西滿伯多祿","人子","門徒","福音","若望","新命令","逾越節","猶太","","","","","","","","","","","","","","","","",""
"耶穌","斐理伯","真理","福音","若望","猶達斯","多默","猶達","生命","聖神","","","","","","","","","","","","","","","","","","",""
"福音","若望","真葡萄樹","真理","門徒","","","","","","","","","","","","","","","","","","","","","","","",""
"正義","真理","福音","耶穌","若望","門徒","","","","","","","","","","","","","","","","","","","","","","",""
"真理","永生","福音","耶穌","若望","耶穌基督","基督","","","","","","","","","","","","","","","","","","","","","",""
"耶穌","猶太","門徒","蓋法","西滿伯多祿","亞納斯","猶達斯","亞納","猶達","真理","西滿","納匝肋","逾越節","福音","若望","常在","聖殿","","","","","","","","","","","",""
"耶穌","十字架","猶太","門徒","安息日","瑪利亞","福音","若望","瑪利亞瑪達肋納","阿黎瑪特雅","哥耳哥達","尼苛德摩","克羅帕","天主子","納匝肋","逾越節","若瑟","見證","","","","","","","","","","",""
"耶穌","門徒","瑪利亞","多默","瑪利亞瑪達肋納","西滿伯多祿","福音","若望","西滿","天主子","默西亞","復活","猶太","生命","神蹟","聖神","","","","","","","","","","","","",""
"耶穌","門徒","西滿","西滿伯多祿","若望","福音","提庇黎雅海","加里肋亞","納塔乃耳","載伯德","加納","多默","復活","","","","","","","","","","","","","","","",""
